id,name,da_ban,sku,price,list_price,discount,discount_rate,review_count,category
274031576,Series các tập ATTACK ON TITAN,1372.0,1669326196919,42000,42000,0,0,61,nha-sach-tiki
273355903,"Làm Cha Mẹ Tỉnh Thức - Chuyển Hóa Bản Thân, Trao Quyền Cho Con Cái",7670.0,1782383724166,109000,149000,40000,27,831,nha-sach-tiki
272129446,AI - Công Cụ Nâng Cao Hiệu Suất Công Việc,466.0,2246493289510,116000,169000,53000,31,10,nha-sach-tiki
271916321,"Mùa hè không tên (Nguyễn Nhật Ánh) - Tặng kèm Bookmark, Tranh màu cho cả 2 phiên bản - Tặng thêm ngẫu nhiên 1 trong 2 Lót ly cho Bản bìa cứng",5338.0,9198440397642,84000,130000,46000,35,450,nha-sach-tiki
270847918,Lời Thú Tội Mới Của Một Sát Thủ Kinh Tế,4885.0,3221213326793,177000,245000,68000,28,522,nha-sach-tiki
270504803,4 Nguyên Tắc Thực Thi (The 4 Disciplines Of Execution),692.0,6031387182316,166000,205000,39000,19,17,nha-sach-tiki
253129523,Atomic Habits - Thay Đổi Tí Hon Hiệu Quả Bất Ngờ (Tái Bản 2023),1209.0,5907296908260,151200,189000,37800,20,73,nha-sach-tiki
225912339,Chủ nghĩa khắc kỷ - phong cách sống bản lĩnh và bình thản (Tái Bản),3015.0,6157284510091,110000,149000,39000,26,218,nha-sach-tiki
195885674,Đất Nước Gấm Hoa - Atlas Việt Nam,539.0,6507223294581,279000,350000,71000,20,38,nha-sach-tiki
195545504,Nhật Ký Trong Tù,444.0,9777750595895,54700,80000,25300,32,52,nha-sach-tiki
192377682,Bùi Kiến Thành - Người Mở Khóa Lãng Du (Hồi Ký),110.0,2582028594121,94100,150000,55900,37,12,nha-sach-tiki
189643105,Không Phải Sói Nhưng Cũng Đừng Là Cừu -Tặng kèm bookmark 2 mặt,14207.0,7150413107642,89800,128000,38200,30,1503,nha-sach-tiki
181379116,Hackers Toeic Vocabulary (Tái Bản),777.0,5763192225985,191000,279000,88000,32,110,nha-sach-tiki
153518797,Tôi Đi Học - Nguyễn Ngọc Ký (Tái Bản),487.0,4126438828115,55500,76000,20500,27,29,nha-sach-tiki
117238177,Thư Viện Nửa Đêm,80.0,5673157495853,120000,150000,30000,20,12,nha-sach-tiki
114937969,Rừng Nauy (Tái Bản),398.0,4063406517816,144000,180000,36000,20,57,nha-sach-tiki
94347317,"Câu Chuyện Cơ Thể Con Người: Tiến Hóa, Sức Khỏe Và Bệnh Tật",66.0,1181833357728,185200,195000,9800,5,9,nha-sach-tiki
57354850,Những Con Chim Ẩn Mình Chờ Chết (Tái Bản 2020),248.0,5651458239105,144000,160000,16000,10,45,nha-sach-tiki
57325187,Sách Người Giàu Có Nhất Thành Babylon (Tái Bản 2020),2431.0,2446461571372,75400,98000,22600,23,354,nha-sach-tiki
53452969,Khởi Nghiệp Du Kích - Kinh Doanh Ít Vốn - Vận Dụng Nguồn Lực Nhỏ Chiến Thắng Cuộc Chơi Lớn (Tái Bản),7332.0,5411648147401,199000,199000,0,0,995,nha-sach-tiki
52805060,Chúa Ruồi - Tiểu Thuyết (Nobel Văn Chương 1983)(Tái Bản 2020),141.0,9262112795163,77400,88000,10600,12,34,nha-sach-tiki
37887031,Hiểu Nghèo Thoát Nghèo (Tái Bản),40.0,7001268841032,144000,160000,16000,10,9,nha-sach-tiki
31509726,Làm Bạn Với Bầu Trời (Bìa Mềm) (Tặng Kèm Khung Ảnh Số Lượng Có Hạn),28257.0,6664030992090,72000,110000,38000,35,2173,nha-sach-tiki
15267827,Hoàng Tử Bé (Tái Bản 2019),1833.0,4933955346595,60000,75000,15000,20,315,nha-sach-tiki
14684952,Khu Vườn Bí Mật ( Tái Bản 2019 ),4575.0,7574641962827,74600,96000,21400,22,508,nha-sach-tiki
12138656,Nghệ Thuật Tư Duy Chiến Lược,221.0,6986093891821,195900,239000,43100,18,11,nha-sach-tiki
4780917,Người Đua Diều (Tái Bản 2018),22465.0,3342656016576,99000,129000,30000,23,2688,nha-sach-tiki
3408327,Quân Khu Nam Đồng: Truyện (Tái Bản),2687.0,2396043028889,90000,140000,50000,36,306,nha-sach-tiki
3082815,Tự Truyện Benjamin Franklin (Tái Bản),4206.0,8777925615764,74200,109000,34800,32,580,nha-sach-tiki
1702825,Hóa Thân (Tái Bản),2805.0,9162657193694,40800,54000,13200,24,181,nha-sach-tiki
277857896,Gen Alpha Và Rối Loạn Lo Âu,3.0,2705770210964,152400,219000,66600,30,0,nha-sach-tiki
277810944,"Sách Hồi Ký Nguyễn Thị Bình: Gia Đình, Bạn Bè Và Đất Nước (Phiên Bản Bìa Cứng) - Tái Bản 2025",35.0,8320350618881,213000,224000,11000,5,2,nha-sach-tiki
277780812,Bộ Sách Gieo Mầm Nhân Cách : Combo Tử tế nhưng đừng dại khờ con nhé +  Đắc Nhân Tâm cho trẻ,49.0,7730310444038,250000,250000,0,0,1,nha-sach-tiki
277762055,Dấu Ấn Hoàng Gia – Tập 21 [Tặng Kèm Postcard],30.0,7026892524394,30000,30000,0,0,1,nha-sach-tiki
277744865,Thái Bạch Kim Tinh Đang Phiền Muộn,30.0,3725122422533,179000,179000,0,0,1,nha-sach-tiki
277742606,Bản Sao,27.0,4040007993746,159400,229000,69600,30,2,nha-sach-tiki
277585864,Co - Intellgence - Trí Tuệ Đồng Hành  - Kỷ nguyên sống và làm việc cùng AI,70.0,1173711831508,190000,190000,0,0,1,nha-sach-tiki
277412034,Sách Song Ngữ Lời Thì Thầm Trong Tổ Ấm - Whispers In The Home - Chính Hãng + Mã File Nghe,722.0,1221590090926,182000,182000,0,0,25,nha-sach-tiki
